comment_id,用戶名稱,留言內容,留言時間
1,Hu WeiGuo,閃起來,5週
2,許哲榮,會出逃兵圖的NFT割韭菜嗎？,5週
3,周佑,好煩演藝圈可以跟對岸一樣嗎劣跡藝人 消失,5週
4,劉維献,請為中華民國台灣盡一份忠誠之心。,5週
5,Miki Chou,你什麼咖？也逃？,5週
6,陳俊瑋,卡一個,5週
7,BK KB,"家寧+0
你們兩個可以登記結婚
在監獄一起",5週
8,安勝勝,,17週
9,周柏均,"就正常的啊
哈哈笑死",25週
10,賴威,"逃兵請退出演藝圈
28週",讚
11,Diamond Yi,"廢人你還有替代役可以當,不要再裝了
28週",讚
12,白人豪,阿斯巴辣人家韓國明星都敢去當兵啊你勒，GD如果看到你這沒當兵的還跳他的舞肯定叫你把兵當完在跳,28週
13,李理,"陳志豪！ 上社會新聞了耶！！！ 你好棒喔
28週
讚",回覆
14,Jessie Tsai,"躲過一時，過不過一世，有ＧＧ卻不去服役，可悲
28週",讚
15,徐錦江,丟人現眼 沒懶趴？,28週
16,たて わく,"30萬真好用
28週",讚
17,王忻,"當兵了嗎？
28週",讚
18,趙元冠,"被抓的感覺很棒吧哈哈哈
28週",讚
19,Xing Run,逃兵仔,28週
20,Boris Lao,這次閃不掉了吧,28週
21,邱淑,"要逃到什麼時候
28週",讚
22,Amy Cheng,"邱淑
你還沒被天收了嗎？",28週
23,Historia Wang,"逃兵
幹
28週",讚
24,莫茉,,29週
25,黃語晨,帥＞＜,31週
26,荳子,感謝4/19kkbox 風雲榜精彩的演出，新歌好聽,32週
27,Tam Sze Sze,"新歌超好聽
你太帥了",32週
28,Amber Ong,,32週
29,盧俞珊,太帥了,32週
30,Pang Yoke Ping,,32週
31,Vincent Chiang,"Amy Cheng
大家都知道你快被收了",4週
32,Terry Liu,"Amy Cheng
你吃屎了嗎?",5週
33,Jason Kao,"Amy Cheng
你快被收了",28週
34,阿哈,"Amy Cheng
你還沒去當兵嗎？反串假粉Amy哥",28週
35,李理,"Amy Cheng
你嗎？",28週
36,邱淑,"Amy Cheng
你在說09吧
28週",讚
37,Amy Cheng,"趙元冠
你可以試試就知道了",28週
38,Terry Liu,"Amy Cheng
網軍18點就下班了,19點就看不到人了 你快包一包回家吧",5週
39,阿哈,"趙元冠
沒事，帥哥，他是假粉反串的，別生氣",28週
40,趙元冠,"Amy Cheng
假帳號閉嘴吧～",28週
