Topic,Count,Name,Representation,Representative_Docs
9,16,9_是修杰楷啦_姊姊_不讀書_到底在幹嘛,"['是修杰楷啦', '姊姊', '不讀書', '到底在幹嘛', '你媽教你辦假帳號', '人家是修杰楷啦', '噢噢在女兒面前被抓走', '可以滾嗎', '姊姊突然激動了起來', '修楷傑是誰笑死']","['可以滾嗎 你媽教你辦假帳號 不讀書？', '姊姊 是修杰楷啦', '姊姊 是修杰楷啦 😂']"
10,16,10_加油_加油啊_退出演藝圈吧_期待再看到你的分享影音,"['加油', '加油啊', '退出演藝圈吧', '期待再看到你的分享影音', '在帶風向啊', '把ㄧ切處理好', '加油繼續努力', '平安', '加油加油', '']","['加油💪', '加油💪', '加油。 把ㄧ切處理好 ， 期待再看到你的分享影音。']"
11,15,11_三立性侵那位沒上銬_上網都查的到_上銬很離譜_上銬,"['三立性侵那位沒上銬', '上網都查的到', '上銬很離譜', '上銬', '上銬的部分我不是很懂', '上銬真的是有病', '兩個不同好嗎', '不嚴重上銬', '不過拘提前都沒有傳票的嗎', '也是不懂為何上銬']","['對於……上銬,我也覺得怪,有嚴重到需要嗎？又不是重大要犯', '自己逃避兵役就是犯罪，檢方已經通知了自己不主動去到案，非要弄到被拘提，還拿家人小孩出來裝可憐博取同情，男子漢，自己做的事情就勇敢出來承擔才對。', '上銬的部分我不是很懂，是有什麼大新聞要壓嗎？😂 拜託 黃子佼 跟什麼益霆的 可以也上銬嗎 性侵犯更嚴重的沒有上銬是什麼意思']"
12,15,12_勇敢面對_勇敢面對一切_加油_人生順遂,"['勇敢面對', '勇敢面對一切', '加油', '人生順遂', '你很勇敢面對已經很棒了', '勇於', '好了啦', '勇於面對就好', '勇敢的面對吧', '勇敢接受吧']","['加油，勇敢面對', '加油 勇敢面對', '好了啦 腳踏車 跑步 這麼厲害 汗水這樣噴，我幫你跟國防部長溝通一下，準你把你的腳踏車帶進去營區騎，證明一下你的高血壓已經痊癒了']"
13,15,13_luo81087_一個是拘提_jane62352003_一個是通知到案調查,"['luo81087', '一個是拘提', 'jane62352003', '一個是通知到案調查', '一定有看到監視器啊', '想情勒誰', '上銬這件事警方還得出來澄清', '不用跟警察道歉嗎', '不閃躲', '並沒有在小孩面前做這件事']","['一定有看到監視器啊，動點腦好嗎 你是警察嗎 你是他家人嗎 你嘴巴可以閉上 嚇到小孩就是嚇到小孩 你沒人性不要在這留言😆', '@jane62352003 一個是通知到案調查、一個是拘提。聽說有讓他先找保母的時間，因為老婆不在台灣。也沒有在小孩面前銬的情事。但是我覺得自己年輕時做的決定，本來應該思考過將來自己的家人知道會怎樣了。', '@luo81087 賈說警方當著小孩的面逮捕，害小孩受到驚嚇 但警方有回應，讓修杰楷聯繫保母到場照顧，小孩也在放假沒接觸到警方，而且是到電梯口才上銬，根本沒有像賈說的那樣']"
14,14,14_momodog1215_amiker0105_shihstone_他們很奇怪,"['momodog1215', 'amiker0105', 'shihstone', '他們很奇怪', '什麼叫只是變替代役還好吧', '上銬是拘提程序跟什麼罪沒有關係', '必須被消失', '先偽造病歷已違法', '先去了解不用傻眼', '他們是公眾人物知法犯法']","['@as43111 他們很奇怪，講事實也要被砲轟，我也是上面有發言被砲🤣犯罪本來就要自己面對啊，還有人說為什麼要拿這麼久的事情才說，是不知道法律追訴期（？）', '@_linziting 怎麼會沒有，他們是公眾人物知法犯法，傷了支持他們的家人和粉絲的心，請搞清楚是“犯法”，法律面前一視同仁，拘提上銬也是程序跟罪重不重沒關係', '@momodog1215 什麼叫只是變替代役還好吧？在變替代役之前偽造病歷這個動作就已經是犯法，而且逃兵役是刑事案件，當然有證據才會抓，法律之前一視同仁，沒有說是藝人抓了就沒意義就可以睜一隻眼閉起一隻眼地縱容，那還要律法做什麼🤨']"
15,14,15_修哥_修哥加油_修叔加油_修凱傑,"['修哥', '修哥加油', '修叔加油', '修凱傑', '修哥讚', '修爸好帥', '修哥很棒的', '修哥真內行', '希望修哥能繼續在小紅書po影片', '弟弟是修楷耶']","['修哥👍', '修哥❤️加油💪🏻', '修哥，加油']"
16,14,16_修楷杰ꉂ_永遠支持你_加油喔_楷杰,"['修楷杰ꉂ', '永遠支持你', '加油喔', '楷杰', '加油', '', '', '', '', '']","['加油喔💪🏼💪🏼💪🏼', '修楷杰ꉂ🤣𐤔', '👏👏👏👏👏👏加油~~~永遠支持你']"
17,13,17_沒事的_no_沒事啦_anyway,"['沒事的', 'no', '沒事啦', 'anyway', 'hurt', 'got', 'fine', 'everything', '很快过去', 'worries']","['沒事的。', '沒事的！加油', 'No worries, man - small thing! Everything’s fine, no one got hurt anyway~']"
18,13,18_不是一定要在孩子面前才會讓他們受到驚嚇_不然以後小孩會被閒言閒語_不要把孩子扯進來_不要袒護其他人,"['不是一定要在孩子面前才會讓他們受到驚嚇', '不然以後小孩會被閒言閒語', '不要把孩子扯進來', '不要袒護其他人', '但家庭並無特殊照顧壓力', '不過都能有管道去造假病例了', '你在纠结什么啊', '單純結婚', '都不會覺得異常', '勇於勇敢認錯並且負責']","['糾結什麼，小孩都不會看新聞？都不會覺得異常？媽媽擔心小孩心態不可以嗎？', '希望你能誠實 不要袒護其他人 為了你的家人請勇於面對後續責任 不然以後小孩會被閒言閒語', '@grumble_against_yu 有小孩不是就會從常備役體位自動改判成替代役耶 單純結婚、有小孩，但家庭並無特殊照顧壓力，審查仍可能不通過啊… 不過都能有管道去造假病例了 想辦法弄個審核通過好像也不難啦']"
