Topic,Count,Name,Representation,Representative_Docs
30,48,30_終於_5g真的不開團綜嗎_歡迎您回來_正能量逃兵加一,"['終於', '5g真的不開團綜嗎', '歡迎您回來', '正能量逃兵加一', '陳零九你什麼意思', '等到了', '好荒唐', '歌詞', '敲碗看更多', '想死你']","['偷漏真的太難過了🤣🤣', '天哪！！！！！九哥😭😭😭', '敲碗看更多🤣🤣5G真的不開團綜嗎？？']"
31,44,31_哈哈哈_好好聽_哈哈哈哈哈_哇喔,"['哈哈哈', '好好聽', '哈哈哈哈哈', '哇喔', '哈哈哈哈哈哈哈哈哈哈哈', '你還真是善良啊', 'lizmaru_', '哇出現了', '原來這才是本名嗎', '再逃啊']","['這個戲劇張力太強了，這麼浮誇的劇情不知道是不是toro想的，表情非常到位有趣😂', '噗哧 我到底看啥健身🏋️跳舞運動欸！ 哈哈哈😂😍🤣', '奶哥都被影相了 才用衫遮臉🤣 達達怎麼忘了雨露要均沾呢😝 都玩瘋了 哈哈😂']"
32,36,32_會過去的_都過去了_一切也会过去的_ㄧ切都會挺過去的,"['會過去的', '都過去了', '一切也会过去的', 'ㄧ切都會挺過去的', '15年前思想未成熟', '一切都會度過', '一切都會過去了', '事情都會過去的', '不忘初心', '他們可能還會被關']","['現在要出來還是太早，而且12月還有一批，先睡到明年好了，而且還有ANDY老師這一波', '不管怎樣，支持到底！都過去了！沒事！', '15年前思想未成熟，做了逃兵。現在必須接受當年的因果。這幾年坤達的形象做的都不錯，我還是很喜歡坤達，這次閃兵風波，希望能雨過天晴。少說話多做善事，用行動來反省。坤達加油！']"
33,35,33_this_gymnastics_can_performance,"['this', 'gymnastics', 'can', 'performance', 'need', 'stuff', 'fw', 'nail', 'kunda', 'those']","['🔥🔥加油', 'I fw this', '🔥cool bro 🔥']"
34,46,34_想你了_想你_you_我很想你,"['想你了', '想你', 'you', '我很想你', '真好', 'come', 'better', '我想我們會一起陪伴你度過最艱難的時刻', '我真的很喜歡你', 'missing']","['想你了😍😍', '想你了😭', '想你了😿']"
35,38,35_小杰加油_做自己就好_歐買尬_好棒,"['小杰加油', '做自己就好', '歐買尬', '好棒', '辛苦你了', '一堆喊加油', '你們去演戲吧', '但哥下次簽名慢一點可以嗎', '希望有時間時能多拍跳舞影片', '和egg相輔相成']","['在我家這邊耶！！！！', '辛苦你了 加油學弟！！！！！', '好棒！！！！但哥下次簽名慢一點可以嗎😢']"
36,29,36_好想你_很想你_xz4564123_你們也一定會長命百歲的,"['好想你', '很想你', 'xz4564123', '你們也一定會長命百歲的', 'zk_charlie', '你父母也教得很好', '你就很善良吗', '哎呀你眼光真好', '啊啊啊啊想你了', '喜歡我帶你去']","['好想你🥹🥹🥹', '好想你🥰🥰🥰', '@xz4564123 哎呀你眼光真好 你父母也教得很好🥹🥹🥹你們也一定會長命百歲的☺️☺️☺️']"
37,37,37_置板凳_chill_mr_修楷杰,"['置板凳', 'chill', 'mr', '修楷杰', 'mix泡沫', '下一個爆款舞', 'ini', 'apa', '丟臉死了', '不想給流量']","['Mr. Chill Mr. 😂', '😂第一遍沒發現，第二遍：修楷杰耶～', '閃兵，好爽喔😂逃兵，沒被抓都不會承認😂']"
38,27,38_來個呂布的台詞___,"['來個呂布的台詞', '', '', '', '', '', '', '', '', '']","['😂😂😂', '😂😂😂', '😂😂來個呂布的台詞']"
39,29,39_五堅情_陳零九_復出_優秀,"['五堅情', '陳零九', '復出', '優秀', '聽了就ㄞ', '什麼東西', '編劇加雞腿', '零九回來了', '超帥', '九哥']","['🤣🤣🤣🤣 編劇加雞腿🍗！！！', '復出！😍😍😍😍😍', '什麼東西😍😍😍😍😍😍']"
40,26,40____,"['', '', '', '', '', '', '', '', '', '']","['❤️❤️❤️❤️❤️❤️❤️💜💜💜', '❤️❤️❤️❤️', '❤️❤️❤️❤️']"
41,28,41_九哥_蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲_好扯_路過,"['九哥', '蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲', '好扯', '路過', '好想你', '好聽', '加油', '', '', '']","['好扯👏👏👏', '蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲蹲', '👏👏👏路過 好聽']"
42,101,42_加油_修哥_你很棒_一看到是你覺得好驚訝,"['加油', '修哥', '你很棒', '一看到是你覺得好驚訝', '09你是最棒的', '不要理會酸民留言', '他有去自首嗎', '不管事兵役問題還是代言集玩很大的主持棒的問題都要謹慎面對這些問題', '不管妳人現在在哪裡', '但你的第一時間的誠實承認']","['加油！', '加油！💪', '加油！']"
43,25,43_终于_加油__,"['终于', '加油', '', '', '', '', '', '', '', '']","['加油👏', '加油👏', '加油👏']"
44,25,44_我到底看了什麼_身為在地人的我_09真的還好嗎_不要解釋了我都看見啦,"['我到底看了什麼', '身為在地人的我', '09真的還好嗎', '不要解釋了我都看見啦', '一下開始扭', '再來個耀眼的紅色上衣', '剛好拍攝那天', '好會扭的達達', '不敢相信自己看了什麼', '怎麼跳都不會掉']","['哈哈.....我到底看了什麼？是我想的那樣嗎~🤣🤣🤣', '我到底看了什麼？？ 🤣', '身為在地人的我，這家真的很推，看到影片都讓我口水直了，臭豆腐、油雞、蚵仔煎樣樣不能少🤤']"
45,23,45_原來是這種關係_平安__,"['原來是這種關係', '平安', '', '', '', '', '', '', '', '']","['💪💪💪', '平安 💪💪💪', '原來是這種關係']"
46,23,46_wow_xdddddd__,"['wow', 'xdddddd', '', '', '', '', '', '', '', '']","['🫂🫂🫂', 'XDDDDDD', 'WoW']"
47,22,47_我要哭了_我哭了_sorry_也太真實的哀怨了吧,"['我要哭了', '我哭了', 'sorry', '也太真實的哀怨了吧', '快哭了', '哇我要哭了看到還不敢相信', '我的九哥', '打開直接大叫眼淚都要流出來了', '我直接哭', '三角戀']","['😭😭😭😭😭😭😭歡迎回來！我要哭了', '我要哭了', '我要哭了😭😭😭']"
48,23,48_敲碗續集_chorei_eh_de,"['敲碗續集', 'chorei', 'eh', 'de', 'toro的表情超貼切的', 'toro不要啊', '也太傷心宣傳了吧', '偶像坏掉了吗', '一直被認錯人名字也一直被叫錯', '不可能沒偶包到這種程度吧']","['eh？偶像坏掉了吗？🤣🤣🤣🤣', '也太傷心宣傳了吧~😂堪稱痛徹心扉（哈哈', '笑俗🤣🤣🤣 Toro的表情超貼切的·貼切到想揍他😂😂😂']"
49,22,49_加油_收到了__,"['加油', '收到了', '', '', '', '', '', '', '', '']","['加油❤️', '加油！❤️', '加油❤️']"
50,23,50_在哪裡_不是_地址呢_分享沒地址,"['在哪裡', '不是', '地址呢', '分享沒地址', '也不開放加盟', '丹丹是家族企業喔', '哪家啊', '哥拜託給一下地址', '怎麼還一堆人幫高調', '想知道店名']","['在哪裡', '在哪裡', '在哪裡😢']"
51,26,51_好想你_so_and_you,"['好想你', 'so', 'and', 'you', '但我想吃瓜', 'do', 'how', 'e起做公益', 'kind', 'look']","['好想你😭😭', '好想你🧡😭', 'You look so kind and gentle, so how could you do something so terrible?']"
