Topic,Count,Name,Representation,Representative_Docs
-1,38,-1_一定沙盤推演完了_一點都沒誠意認錯耶_不知道也正常_不配合也重不到哪裡,"['一定沙盤推演完了', '一點都沒誠意認錯耶', '不知道也正常', '不配合也重不到哪裡', '並與經紀人接洽', '中間人肯定也不是什麼小咖', '他們不是知道錯了', '他們只是知道自己要死了', '以後bmi45才免役', '但什麼都不記得']","['其實當年錢賺了 現在變比較老再繳罰金就好  都過了36歲 除了偽造文書可能比較嚴重 但態度良好應該是可以減輕或緩刑 逃避兵役的部分可以易科罰金', '「錯誤申請免疫 」說的好像當初是不小心的不是故意的，「申請免疫 」說的好像他可以決定自己要不要當兵一樣，感覺都避重就輕，一點都沒誠意認錯耶', '我猜啦 假設跨了世代 還是同一個陳姓主嫌在幫藝人做這些事的話 那所謂的友人、中間人肯定也不是什麼小咖 怎麼敢說？ 或是演藝圈有人專門在處理 並與經紀人接洽 那他們說忘記了、不知道也正常 —————— 小時候就常聽過藝人閃兵了 感覺本來就是一個必定會被推薦的流程']"
0,26,0_12天的_3年的_5的人不就進去當戰車_energy書偉都44歲了,"['12天的', '3年的', '5的人不就進去當戰車', 'energy書偉都44歲了', 'no', 'ok', 'wait', '一年兵路過', '不要跟我開玩笑了好嗎', '不過就當兵']","['新聞每次播這些人我都覺得很可悲 不過就當兵 尤其是現在 軍事民主化 當兵已經輕鬆很多 我們阿公阿爸那年代 還有戰爭的風險甚至是戒嚴時期 役期都是2-3年的 還不是都活著回來還孕育你我 逃兵的這些人都一年那附近的而且還可以轉服替代役 是在？', '我不懂說逃兵這件事沒什麼的人在想什麼？ 哪天真的發生戰爭，這種人一定第一個跑的 而且因為免役，在投降之前，他們連被抓去守衛台灣海岸線的機會都沒有，你跟我說這種人還可以再出來？  賺了20年、給了他20年自首的機會，甚至看到威廉被抓還不自首，照樣裝沒事、曝光 不要跟我開玩笑了好嗎！ 我也討厭當兵覺得很浪費時間，但那是義務 厚顏無恥！', '男人當兵不怕累 就怕女友陪人睡 女友在爽我在累 含著眼淚下部隊  戰靴濕了繼續背 手機沒訊全都黑 我練體能升裝備 她練姿勢升床位  前線衝鋒我無畏 後方放生說撤退 我喊長官yes ok 她喊對象please no wait  休假回家排好隊 約會變成在排隊 才剛牽手說想睡 睡的不是我這位  藝人裝病閃得快 我傻當兵替他蓋 他拍戲演超牛掰 我站崗風吹褲擺']"
1,18,1_笑死_以為雞雞夾起來就可以一輩子沒雞雞喔_什麼時候的影片呀這個_不懂是要加油什麼,"['笑死', '以為雞雞夾起來就可以一輩子沒雞雞喔', '什麼時候的影片呀這個', '不懂是要加油什麼', 'you', 'ener拘', '傻逼們', '休團到這輩子結束吧', '5個可悲魯蛇', '坤達上銬好爽喔']","['笑死 5個可悲魯蛇', '以為雞雞夾起來就可以一輩子沒雞雞喔 笑死', '剛復出，又馬上暫停活動了，笑死']"
2,9,2_還不就是公關文_都是垃圾_這都是大平台的錯_這裡怨氣跟戾氣好重,"['還不就是公關文', '都是垃圾', '這都是大平台的錯', '這裡怨氣跟戾氣好重', '這大陸害死好多人', '道歉再道歉就行了', '這不是廢話', '誰會主動承認', '有夠可悲的', '藝人們說謊的嘴']","['道歉再道歉就行了 反正已除役', '這不是廢話  誰會主動承認…', '他們道歉說什麼重要嗎？還不就是公關文😂']"
3,8,3_一樣有一堆人愛_他們根本有恃無恐_休團到六月_但出solo我會支持,"['一樣有一堆人愛', '他們根本有恃無恐', '休團到六月', '但出solo我會支持', '其他團員真的衰到', '到底懂不懂什麼叫', '加油', '反正也沒人關注台灣藝人', '反正風頭過了', '台灣人就是對這種罪犯藝人包容性很高啊']","['台灣人就是對這種罪犯藝人包容性很高啊 他們根本有恃無恐 反正風頭過了 一樣有一堆人愛', '明年6月… 那之後再付出  加油 挺你  台灣人真的很健忘台灣人真的很包容', '欸不是，就是因為要對歌迷交代所以演唱會必須要取消吧！這個回覆我整個傻眼，雖然對E團蠻有好感的說@@  其他團員真的衰到，但出solo我會支持，團體演唱會的話只會讓人覺得…到底懂不懂什麼叫「休團到六月」的中文？邏輯在哪裡？？']"
4,7,4_有買的快退票_一波合體賺飽了以前賺不夠分的錢_不要讓閃兵團繼續賺大家的錢_他們唱歌真的不好聽,"['有買的快退票', '一波合體賺飽了以前賺不夠分的錢', '不要讓閃兵團繼續賺大家的錢', '他們唱歌真的不好聽', '剛出來時抄韓團', '不撈白不撈', '卻不能當兵', '卻還撈錢', '可以跳16蹲', '只是躲輿論壓力而已']","['他們唱歌真的不好聽 剛出來時抄韓團 現在就只是粉絲+跟風仔在買回憶', '罰錢那些都沒用啦 這些藝人錢多的是  直接抓去重新當兵管他幾歲 或者退出演藝圈  身為公眾人物做為民眾表率 有責任擔當再來討論當藝人', '小巨蛋演唱應該要取消。有買的快退票。唱片公司到現在還只想要賺錢。 可以跳16蹲，卻不能當兵。說要反省，卻還撈錢。有買的快退票。不要讓閃兵團繼續賺大家的錢。']"
