username,comments,time
erikalee1223,"跳舞就是要從從容容遊刃有餘
要跳不跳才是王道😎
#dance #folded #energy #egg🥚",8週
energy.come.sg,達達好厲害，同一天同時練習兩種不同舞風的舞還馬上拍攝，和EGG相輔相成，好棒，希望有時間時能多拍跳舞影片，真得很好看❤️🙌🔥。,8週
yyw_wyy0812,好看好看好好看！,8週
starry_starry_ni9ht,你們還有多少隻影片😂😂😂,8週
jowen49,Ferrari藍髮男太有魅力😍,8週
fiona.huang.503,乍看以為薛之謙😆,8週
mwchan000,達哥好帥，真是柔軟體態,8週
cindywang0320,"達達 跳舞真的超有魅力😍
他不會只是出力把招式打出來 任由力皆瀉出😊
是會蓄勁律動 由餘勁順滑帶出下一個律動舞步👏
That’s why his dancing 有餘韻有味道 特別好看👍
就舞出哪個人風格 型格 cool帥🔥",8週
beiii0821,達哥好帥😍,8週
lai0109,藍髮配紅衣根本絕頂呀😎😍💖,8週
reno_8318,達哥好帥好帥超級帥🫶🏻😍,8週
leo0724fei,"達達好帥😍
真的不要這麼撩人🫠🫠",8週
_.yq71x,各種顏色的駕馭❤️,8週
candywang7446,怎麼感覺你跳的很用力🤣,8週
joanqiqi1211,有法拉利馬上來朝聖,8週
liddy__,4位女神级dancer性感之外 @hsieh_kunda 哥 你的服装和你的人真的是耀眼到不行耶😍😍😍,8週
yuner.31,@fannybabyqq 不可能又來了😍,8週
lyn.qq.mm.dd,😍😍,8週
joannaongxm,跳到好帅啊！跳多一点。,8週
yuting10288,@hsieh_kunda 奶哥在一旁坐著 是在等你跳完然後一起回房間嗎？😁,8週
anniesklam,達哥帥翻了啦！,8週
donehannah,"達哥跳舞不是用蠻力, 柔軟力度適中, 帥度爆錶👍👏❤️",8週
mwchan000,要零死角才能這角度拍！！,8週
loveda726,跳的慵懶Sexy….❤️‍🔥,8週
ty_oao.1201,達達跳舞就是迷人太帥了😍😍😍,8週
evashow27,達哥很帥！！！,8週
chen_mimi,太帥,8週
_.yq71x,達哥真的是零死角男神，這種角度還能這麼帥😍😍,8週
cyndi8186,救命藍髮越看越帥😍,8週
linalice0304,好看欸 越來越有舞感,8週
mimiyu520,多跳多跳 看不夠啊😍😍,8週
amy19940626,為什麼我忍不住一直重複看,8週
daphne_kao_,😍😍😍怎麼可以這麼帥,8週
ruby20913,有點GD的風格😍,7週
songxiaohan2,達達哥就是帥,8週
selenatzeng,坤達哥帥😍,8週
peny567,跳得太好看了❤️,8週
ebobi1971,達達跳舞🕺好好看❤️❤️❤️❤️❤️,8週
meiuel,Kunda can nail it with all this stuff...no need those gymnastics performance.,8週
energy_rebecca,帥🫶🏻,8週
hweelynn_huihui,發瘋,8週
musicstaion5227,還以為點進來背景音樂是世堅哥的新歌😂,8週
tain40404,達哥今天怎麼了，還是你的帳號被誰使用，突然活了起來😂,8週
178.kun_,帥暈了,8週
ato_hsu,哥已經帥到不行,8週
janet56790,好好看😍,8週
annenergy7,跳得好好看 帥氣,8週
iphone____lee,GD達👍,8週
i_110318,達達太帥了😍😍 很好看❤️,8週
vickie_kang,鬆弛感最迷人😘 chill chill 達,8週
yzz._520,"！眼鏡達出現惹～好會扭的達達😍
請多扭一點🫣🫣",8週
wyc.__09,達哥越來越帥了🧏🏻‍♀️😛🎀,8週
