Topic,Count,Name,Representation,Representative_Docs
-1,7,-1_熱門_查看動態_056_11,"['熱門', '查看動態', '056', '11', '34', '432', '74', '76', '836', '不好意思']","['犯錯勇於承擔責任與事後補救，我們都會給與機會 欣賞坤達的敬業與才智 因為他才看綜藝玩很大 期待坤達盡快回歸 當兵時期他們是當紅團體 如果有團員要當兵也許會面臨團體解散，唱片公司和經紀公司應該都有介入吧！ 當然閃兵就是錯，需承擔的責任還是該承擔', '事情發生的當下我忍住了眼淚 直到坤達說一句 不好意思..讓很多人對我失望 從那刻起我想跟你說失望一定會有的 但不離不棄的支持你 在背後默默的等你才是最重要的 達達我們大家都會等你把事情處理好 等你恢復到最好的狀態 等你找回在這之前的笑容 達哥承認了年輕時犯的錯 現在也願意負起責任 會全力配合檢調單位 達哥也在承認後跟很多人對他失望的人道歉 也跟擔心他的人道歉了 他不管是在戲劇方面綜藝方面 甚至各個方面都是零負評是個很優秀的人 再給達哥一次機會👍🏻 達哥值得我們繼續支持繼續喜歡的🫶🏻 我們都會等你回來的 謝坤達❤️😎加油 這是我每次出席活動看到的達哥❤️💙  1 / 2 1,836 74 11 34 熱門 查看動態', '坤達也🫠🫠怎麼會⋯⋯⋯⋯ 全文聲明：本公司所屬藝人謝坤達，15年前未能深思熟慮、體認社會責任而錯誤申請免疫，辜負社會大眾及粉絲的期望，對此深感自責。 坤達今日中午剛抵達國外工作，但一接到消息立即取消工作，已與警方聯繫將提前返回台灣，全力配合偵辦，並接受司法機關認定的全部法律責任，沒有任何藉口。 坤達深切反省，不敢奢求原諒，只求在面對法律責任後，能以謹慎、自省的態度面對未來的每一步，希望有一天能用實際行動懇求大家重拾對坤達的信任。 再次向所有關心此事的社會大眾、粉絲、演藝圈的朋友，還有不知情卻受到波及的家人，表達最深的歉意。除了抱歉，還是抱歉。 裡面我最喜歡他了說🙃  1 / 2 8,432 209 76 2,056 熱門 查看動態']"
0,46,0_作者_每個人都會犯錯_145_bang,"['作者', '每個人都會犯錯', '145', 'bang', 'ok', '一定是律師評估過', '029', '一直努力抓', '一起度過這趟艱辛的路', '不愧是藝人每個都很會演']","['從王大陸開始已經燒一陣了 有沒有造假自己不知道嗎？ 即便當時是經紀公司主導 試問有男藝人主動跳出來承認年輕時的錯誤選擇嗎XD 等檢調抓了才承認 其實就是心存僥倖 沒抓我就繼續裝沒事 這種道歉文說有真心 我也是笑笑', '喜歡跟犯錯是兩回事。 你還是可以繼續喜歡他啊，我覺得他滿有魅力的。 這些人又不是像big bang 的勝利或黃子佼那樣真的幹壞事，他們是利用他們少壯時期在台灣這個灰色地帶經紀公司的安排下，進行免疫的動作，台灣經紀公司也有責任。', '看達哥很多年了 我會繼續支持他 阿對我就腦殘粉 也是因為長年看他如何待人我們才肯當腦殘粉 這麼全方位待人優秀的藝人一定要繼續出現 今天大家會出來幫他講話的原因 主要是大眾對司法的信任度已經降到冰點 貪污的 詐騙的 廢死的 性侵的 政治迫害的 只要有錢有勢有關係 哪個不是活得很滋潤？ 我一直覺得 如果今天放在一個天秤要依損害程度比重辦理 麻煩一也大力整治一下那些真正對國家有巨大傷害的 讓我們見識一下魄力呀 達哥承認自己年輕時犯的錯  也願意接受後果 終究屬於他個人的問題 該被處罰也是沒問題 不過 他幫軍警拍過木曜的形象宣傳 再怎麼說都比我這個無名小兵要對國家有貢獻得多 值得再給他一次機會👍 1,029 145 2 21 熱門 查看動態']"
1,10,1_news_tw_tvbs_enter,"['news', 'tw', 'tvbs', 'enter', 'tvbs新聞網', '一直都在等著你', '一直都在等著達達回歸一直愛energy', '不急不催', '加我一票', '帶著笑迎風而行']","['請給Energy 跟書偉和坤達再一次的機會，拜託。🥺🥺🥺', '達達 我們都還在這裡，一直都在等著你、支持著你 願你能再一次，帶著笑迎風而行 我們在這裡，不急不催，只陪著你', 'news.tvbs.com.tw/enter…  2 / 2 news.tvbs.com.tw 快訊／坤達認閃兵發聲道歉：不敢奢求原諒\u3000《玩很大》錄製喊卡返台面對│TVBS新聞網']"
