comment_id,用戶名稱,留言內容,留言時間
93,林慕揚,多學學我們光漢歐爸 光漢真的比你們好太多了 積極面對的好態度 光漢可以做到的事情為什麼你們做不到 你們身爲大人給你們晚輩做了很不好很可惡的示範 我是一個晚輩 我還要教你們這些長輩什麼事該做什麼事不該做 不覺得你們是在浪費時間跟金錢嗎 好自為之吧,28週
94,陳管斌,退出演藝圈！,28週
95,陳管斌,烙人打人的時候超狠都不會身體不適，遇到當兵裝病裝死，龜的跟什麼一樣，丟不丟臉啊你！,28週
96,胡予政,28週,讚
97,王小毛,笑死,28週
98,김민욱,對你很失望.....不敢用這裡發文嗎？,30週
99,墨麒麟,淦尼娘，背骨，只會用微博，滾出台灣，淦，不要臉天下無敵,30週
100,黃志文,花三百多萬買病例，結果還不是當兵，笑死,31週
101,林合斌,我叫林台灣,你中國大陸人不要回來笑台灣人了吧？
102,林合斌,滾回大陸,不適合你！我陸軍工兵！結果你送信的……………….ㄉㄧㄠ臉⋯⋯！
103,Jubbei Samuro,替代役都不敢當廢物中的廢物,32週
104,劉加昌,王大陸 無緣的媽媽大s現在很傷心 因為妳犯法,34週
105,村田柏穎,支那狗,36週
106,村田柏穎,支那狗滾回對岸去,36週
107,吳民家,拉基小屁孩一個,36週
108,朱朱,你不會開車門,然後比特犬會開車門
109,Ting Ho,為什麼狗會開車窗，王大陸你不會開車門？,36週
110,CM Lin,逃兵！逃兵！逃兵！,37週
111,謝志航,死好啦！ 當自己很紅呦 ， 真的是老兵,37週
112,俊元王,哈哈哈哈哈哈哈哈很丟臉誒，是不是男生啊！,37週
113,邱美珠,可恥,37週
114,陳萬,·,追蹤
115,中華幹話交流協會,·,追蹤
116,Andyy Andyy,逃兵？,37週
117,CH Chuu,沒出息,37週
118,CH Chuu,可悲的人,37週
119,Wen Sh Tseng,幹嘛去台北車站報道啊白痴？,37週
120,Chian Pin Hu,恭喜入伍,37週
121,羅浩銘,\恭賀入伍/,37週
122,Su LiKai,記得報選矯正署哦 先熟悉一下裡面的環境 退伍回來後接到執行令後 再進去就不陌生了,37週
123,謝曜丞,好好四個月的兵不當，被迫當一年，活該！,37週
124,Jeff Yeh,俗辣 不要假愛心了 乖乖去當你的兵吧,37週
125,Vincent Wu,"改名叫""王中國""也沒用了…台灣不挺！大陸也被罵翻！老話一句：在這人設的舞台…我將帶給你們各位…滿滿的…大崩塌！！！！…真不敢相信你去當兵，會有多少長官和明理的國軍兄弟，以合理的訓練""來好好的給你一個體力、耐力、毅志力、人格好好成長的…大平台""…別比中指、別打我！祝福你！！！",37週
126,Minhael Wang,起床了，準備去當兵啦,37週
127,許立言,會不會去呢？,37週
128,Parkson Yik,仆街人渣等天收，終身監禁,37週
129,Parkson Yik,仆街人渣等天收，終身監禁,37週
130,梁瑜恬,沒營養的2486,37週
131,陳彥婷,這拉基怎還活著 浪費生命 沒老二就算了 還打人去打手槍射在自己嘴巴吃下去好了,自以為很秋
132,林得榮,丟臉,37週
133,林覷矢,這是你的案件嗎？,37週
134,百萬陳,你要是死掉了,絕對去你靈堂放鞭炮
135,馬小光,連替代役都躲喔....下港,38週
136,Quorra Hu,個人簡介興趣欄新增：毆打計程車司機,38週
137,潘俊彥,呵呵。連許光漢一根毛都比不上。遜咖,38週
138,潘俊彥,髒東西。,還好真的只是看電影而已、但從沒欣賞過你、當初還真的猜對 非善類
139,Ming Ching Wang,93萬眼瞎的粉絲，笑死，你爸有錢很屌嗎?還不是要進去蹲~敗類,38週
140,林育安,一手好牌打得稀爛，笑死,38週
141,Ken Lin,真開心所有廣告商要賠慘了 拍拍手 超派俏皮哦,38週
142,Ken Lin,別裝好心人啊,38週
143,楊振,還涉嫌教唆打人，丟臉！,38週
144,劉華,滾回大陸,38週
145,Lain Chen,就一個自以爲很帥的不紅藝人,還怕當兵真的笑死
146,Nikki Nikki,退圈吧，真羞恥,38週
147,Ben Clark,就這種雙面人，兵也逃，司機也叫別人打，怎麼還有93萬粉啊,38週
148,Yeh Hank,請問這是被你教唆傷害才導致做輪椅的嗎？？,38週
149,Yeh Hank,請不起司機，裝B失敗，爸爸媽媽知道你這麼壞，就先墮胎了，省得幫你擦屁股,38週
150,Sam Lai,我支持你逃,38週
151,沉沒中,丟臉～丟臉～丟臉,38週
152,沉沒中,真沒用～當個兵也不敢～,38週
153,Miki Ida,好屌喔,38週
154,Miki Ida,你進去是為了拍監獄風雲嗎,38週
155,Kevin Woo,因為逃兵紅到全世界的人 你算是狠,38週
156,欽林,別再 啟智了啦,38週
157,Yi Chen,呃…身為公眾人物，您真的很失格。,38週
158,Paul Yu,原來是不會開特斯拉車門的部分啊，笑死。,38週
159,林骏财,你这个废才,38週
160,Alan Chen,闊嘴ㄟ我看沒戲了,38週
161,張嘉慶,樂色人你配當人嗎⋯⋯教育失敗。￼,38週
162,李明博,大口九，你到底在秋條什麼的啦？！,38週
163,吉八郎,垃圾藝人+90萬的粉絲 應該是買來的吧,38週
164,程皓,垃圾，糙,38週
165,蕭世杰,要不要翻拍[我的逃兵時代] 真人真事絕無改編,38週
166,陳翰,90萬粉絲智商測一下,38週
167,Li Thomas,是在跩什麼？真的很想把你拖到暗巷狂揍，你的表情跟聲音真的令人作噁，躲在家爸爸十塊就好不要再出來丟人現眼，噁心的東西,38週
168,Jason Lin,寧願服刑也不願服役,佩服啊
169,M.W. Chung,超可悲 花錢逃兵還被詐騙 可憐,38週
170,符韜,壞人,38週
171,陳翊豪,蝦仁王,38週
172,張白白,你爸當初應該幫你取名叫王八蛋才對,38週
173,Gogo Chang,你真的很爛,38週
174,Johny Depp,您好，我是來幸災樂禍的，死好活該我草你。,38週
175,Michelle Liu,王大陸真是優良資訊來源,車手被抓
176,Peipei Ho,藝你媽 術你爸 逃兵的垃圾還打人 夭壽喔~~,38週
177,游瑾庭,https://www.facebook.com/share/r/18WQxoGycR/?mibextid=wwXIfr,38週
178,黃浚源,大陸，衣服沒乾，去烘乾,38週
179,Andyy Andyy,恭喜！恭喜！面臨巨額毀約金吃到飽！,38週
180,頭號粉絲,Junonli Hwang,幹王大陸娘師，我更沒想到你這麼好利害喔！難怪我以為你是角頭老大，我覺得你不要當藝人就好了！你自然宣布永久退出演藝圈。
181,陳萬,·,追蹤
182,彭奕荏,現在藝人都是些白痴 追星的腦殘更白痴,38週
183,デ胖大衛,人渣,38週
184,吳龍,有夠俗辣耶你,38週
185,吳龍,孬種,38週
186,吳興杏,下去嘍～兄弟～,38週
187,Pan Jun-Qi,塔綠班的一員,38週
188,許嬌嬌,你好可怕喔，嚇死寶寶了,38週
189,Sheepie Guo,這麼爛的說法，你也信？,38週
190,辛華特,我真的覺得你不適合當藝人耶,家裡有錢但做人失敗
191,蕭宇智,欸欸羅傑說你是2486,38週
192,Simon Yang,交保了還笑得出來,38週
193,愛保留,牠是什麼大陸藝人,38週
194,吳米琪,監獄內也有大平台嗎,38週
195,曹諺,大哥請問一下，你都能找人打人了，為什麼還要叫司機接你呀,38週
196,王小明,嘔心垃圾，是很會打喔，沒用,38週
197,許立言,"你還有什麼事情沒爆出來的啊？會不會me,too你也有份？",38週
198,Alan Chen,許立言,m
199,Jo Jo,土城大陸,38週
200,Ran Ma,劣跡藝人,38週
201,Evan Chang,MAKIYO 都直接打了，你還要烙人，你這小孬孬,38週
202,彭毅茹,你說你想要逃，偏偏注定要落網,38週
203,許嬌嬌,跟孫安佐一樣丟人現臉，真的是垃圾廢物一個，你女友他媽長的好醜喔！,38週
204,許嬌嬌,孫安佐之前也是出事情,38週
205,Lin Ting-Yu,這垃圾的垃圾文怎麼跑到我的通知這啊，夭壽喔,38週
206,魏良諺,進去吧,38週
207,姚子文,媽的，王大陸你真他媽的人渣耶,38週
208,Chang Qin,素質真低,38週
209,Sky Yang,是個狠人！短短4個月兵役不好好當完，直接去蹲至少一年的監獄,38週
210,Hakuna Matata,我的監獄時代,38週
211,賴打賴打,少年得志大不幸,38週
212,王靜萍,可憐關一輩子剛好而已，進去裡面的大哥教你做人,幫你開發後面
213,林小乾,大陸又要淪陷了,38週
