comment_id,用戶名稱,留言內容,留言時間
65,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
66,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
67,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
68,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
69,Shun Sian,5週,讚
70,林敬勲,阿你幾梯的？,5週
71,上戶賴,你妹，妹找你道歉？,5週
72,Patrick Leem,我来看留言的,也看到了你逃兵的信息
73,Wilson Shiro Liu,你家人知道你逃兵嗎？你的人生就只會逃，不敢面對！,5週
74,Terry Liu,"廢物逃兵低能兒,又跟+0尬一起,臭到水溝裡,愛吃屎ㄉ蒼蠅",5週
75,South Huang,垃圾是嗎 欺負Andy是怎樣,5週
76,陳駿榮,帶點種就公開自己家人姓名住址 讓大家朝聖 大家一起幫你照顧家人,5週
77,頭號粉絲,Nan JL,看報導Andy經紀人的回覆，與零九限動回應，應是另有其人？
78,吳崇銘,Nan JL,09的限動完全沒有澄清，而且反應非常曖昧，真的沒有肯定大可直說絕對不是自己，何必用「如果不是我，有人會跟我道歉嗎？」，一直顧左右言他更可疑了
79,Ping Ping Pai,閃兵藝人 重點又沒很紅！閃三小啦,5週
80,吳崇誠,說你了嗎自己拉椅子,蹭？
81,Chian Shang,欸欸 人家說你指名你嗎 要人家道歉什麼啦？,好好笑喔
82,李義成,我不確定是不是你，但如果是你我會去罵ANDY老師，因為知名藝人這句話根本是說謊,5週
83,黃立成,為何要去罵Andy？,Andy只有說有副業很多的藝人
84,謝旻洲,正常冰,5週
85,Shawn Lin,逃兵啊？是不是男人？現在又有矛頭指向你搞Andy，壞事做盡都是你,5週
86,頭號粉絲,Nan JL,Shawn Lin
87,郭蓁蔚,天黑請逃兵 天亮請睜眼說瞎話,5週
88,陳俊傑,本來逃兵覺得你壞 現在又捲入安迪老師的事 你他媽真的又壞又爛 劣跡藝人,5週
89,か なこ,人家沒說是你欸先生,是自己心虛要跳出來自認？？
90,Chon Lin,還不解釋一下嗎,5週
91,史蒂芬,簡直是壞的可以，跟+0一搭一唱。,5週
92,Reset Yu,史蒂芬,不是陳零九
93,林洋德,怎麼每次都有你的事,不愧是模範藝人
94,KuoYuWei,又來了,5週
95,呂騰忠,置板凳,5週
96,葉炘周,大家保持理性，事情還沒有真相前，不要亂指責,（置板凳）
97,劉洋豪,退追蹤囉,拜
98,Awinya Xe,幹你娘 垃圾東西,5週
99,陳珺翔,Awinya Xe,你不怕他告你喔
100,張滿月,椅子放好了,5週
101,Blazers Lee,男藝人是你嗎？ 怎每次都有你,5週
102,林睿揚,又是你,5週
103,Kime Yang,真得什麼事都有你有一份，這也不能怪大家,老是搞出一堆負面新聞，走偏路，只能說被誤會真的是剛好。
104,愛嚼檳榔的哲哲,酸民們我勸你們趕快跟陳零九道歉,5週
105,Ping Ping Pai,哈哈！我看你就自我毀滅吧,5週
106,龜,怎麼又是你啊……怎麼沒好事的都有你……,5週
107,陳睿,逃兵躲半年 這次風波馬上出來,5週
108,Ch Lss,怎麼不檢討想到的是你,虛擬貨幣、逃兵、憲哥女兒
109,頭號粉絲,Kuan Chii,Ch Lss
110,頭號粉絲,Kuan Chii,Ch Lss
111,Lisa Tasi,GPT誰是你，就是你。要道歉叫GPT道歉,5週
112,Leo Chu,狼人是你？,5週
113,水滴夢,又是你,5週
114,莊明縉,有沒有當兵 沒有～,5週
115,劉昱圻,張家檸檬紅茶紅酒,5週
116,周睿理,卡,5週
117,Ryan Ooi,是你吗？,5週
118,Lionel Chen,嘿，是你嗎？張家寧的危機處理捉刀人？,5週
119,張振輝,卡,5週
120,Kuo Chun-Yuan,來看戲了,5週
121,Qi-fong Zhao,壞事每一件都有你,5週
122,游瑋丞,放個板凳卡位。,5週
123,Cindy Lin,趕快證明不是你！,我也想知道是誰！
124,侯力宇,先置板凳,5週
125,謝小米,·,追蹤
126,簡宏,希望知名男藝人不是你,5週
127,邱冠峰,看熱鬧,5週
128,Ziv Dong,卡,5週
129,洪小樂,聽到關鍵字 副業很多,5週
130,頭號粉絲,Kuan Chii,洪小樂
131,Wong Lou Wong,卡个,5週
132,林小明,我來看八點檔的,5週
133,廖玉米,我來卡位的,5週
134,李曜宇,卡位,5週
135,王棋,置板凳,5週
136,CM Hsu,就正常的兵啊,5週
137,Cing Cing,群組裡面會不會有一個負責搞策劃AB合約的蘿拉、負責唸稿演出+0、再來一個負責開直播或是後台的09,5週
138,羅林,寧九是嗎？,5週
139,薛俊凱,置板凳,5週
140,陳小陳,根本就是心虛吧,人家說的此地無銀三百兩原來就是這個意思...
141,金愛霖,能跟老師當面直播說 不是我嗎 想看 老師的表情,5週
142,小奈,台灣逃兵的人居然還可以表演，在南韓早就被封殺了,5週
143,Terence Leong,原來知名男藝人就是你,5週
144,高銘鴻,卡,5週
145,周凱,英國有女王 隔壁有老王 花蓮有爆爆王 你是新聞王,5週
146,Li Hua Ling,很挺+0 喔⋯⋯,不錯不錯！祝你們一起爛
147,劉雲樵,啊！薄薄仔家庭 薄薄仔家庭 粗火勾 哦賀～薄薄仔嘎停 甲灰哥 吃火勾～齁 原味欸火勾～薄薄仔嘎停 哦 意投！意投！薄薄仔嘎停齁 野生的蝦煮 野生的蝦煮,5週
148,尤宏彥,你不該存在,5週
149,謝佩洪,所以真的是你？,5週
150,陳慶,關於動態說的道歉跟他自己的新聞,我想說...媒體有些人嗜血，你花錢讓他們發消息是一回事，你自己的新聞被媒體寫也是一回事，他們要錢要流量，除非跟上層關係極好，不然他馬的管你是誰，有料就爆有好處當然去搞，哪怕這件事缺德
151,李柏彥,是不是有跟+0,過？？
152,邱鼎皓,目前感覺偏好,應該不會是你
153,海韻,5週,讚
154,吳瑞珉,我相信不是你，網路滿滿的惡意 絕對是被抹黑了，歌單有600首 沒一首是你的，這樣怎麼算是知名藝人,5週
155,Elijah Saltzman,蝦仁豬心阿,5週
156,Ding Ze,聽說你是跟家寧要連手要ANDY人財兩失的知名副業很多的男藝人嗎？,5週
157,賴香吟,我拿把椅子來了,5週
158,吳俊林,拔草測風向,5週
159,Ten Charm,大咖⋯笑死,這什麼咖
160,Cheng Guo Song,看完後我來刪歌單裡面有你的歌,滑了一下居然沒半首
161,徐瑋宏,又是你,5週
162,王晨安,髒 人當成你這樣也是枉然,5週
163,Chon Lin,要不要澄清一下，有人說+0的事情，大家網友都猜測是你,5週
